Algorithm,Data Type,Data Ordering,Array size,Standard deviation,Standard error,Mean,Minimum time,Maximum time,Median,N last iterations,First quartile,Third quartile,Interquartile range,First result,Last result,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_22,v_23,v_24,v_25,v_26,v_27,v_28,v_29
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,RANDOM,10000,769150.5134420997,140427.02877630616,2.5278162643333334E8,250395959,263767500,2.52482791E8,30,2.52267334E8,2.52912E8,644666.0,2.56830209E8,2.52167125E8,254247584,253866958,252086958,253992334,252344208,252355084,251882334,252395125,252279084,252425000,252912000,251798541,252293625,253801500,252102416,251950250,254573625,254240666,252880709,252403542,252178000,252709750,253640250,252859500,252267334,252804000,252817459,252691041,252482791,252167125
BUBBLE_SORT_UNTIL_NO_CHANGE,FLOAT,DESC,10000,81056.48131752876,14798.821083202189,2.6515804723333332E8,259975041,266280000,2.65127417E8,30,2.65109583E8,2.65241875E8,132292.0,2.6025775E8,2.65128041E8,265129833,265112584,265261958,265114167,265104334,265339375,265155125,265050000,265114417,265269000,265138625,265127417,265120292,265259500,265116708,265112042,265087792,265241875,265132750,265095625,265138458,265286375,265106000,265105959,265308333,265123625,265109583,265040583,265311041,265128041
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,ASC,100,17.693564429538284,3.230388120243048,657.0666666666667,584,13708,667.0,30,666.0,667.0,1.0,13708.0,667.0,667,667,667,667,625,625,667,667,667,667,625,625,667,625,666,666,666,666,625,667,667,667,667,667,625,667,667,667,667,667
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,RANDOM,100,187.95449803964075,34.31563945362392,32304.2,31792,106417,32292.0,30,32125.0,32500.0,375.0,106417.0,32541.0,32500,32042,32125,32500,32292,32292,32750,32209,32125,32584,32500,32334,32208,32083,32417,32125,32291,32291,32041,32334,32042,32250,32459,32208,32541,32500,32292,32250,32000,32541
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,DESC,100,534.3584117633242,97.56005197180218,36223.566666666666,35375,55625,36125.0,30,36083.0,36167.0,84.0,39417.0,36083.0,36041,36292,36208,36208,36209,36083,39083,36042,36125,36125,36042,36166,36125,36125,36083,36125,36083,36167,36083,36125,36167,36167,36083,36166,36000,36167,36084,36125,36125,36083
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,ASC,1000,22.883302986141558,4.177900411911686,2790.233333333333,2708,5375,2792.0,30,2791.0,2792.0,1.0,5375.0,2792.0,2791,2792,2792,2791,2834,2791,2834,2791,2792,2750,2791,2792,2792,2791,2834,2750,2791,2792,2792,2791,2750,2791,2792,2792,2791,2833,2792,2750,2750,2792
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,RANDOM,1000,11587.77599642543,2115.62876818637,3748383.3,3722292,3919625,3747125.0,30,3740958.0,3753750.0,12792.0,3770041.0,3750875.0,3744834,3747541,3752375,3747125,3735250,3748667,3740958,3739500,3753750,3742291,3731667,3780791,3728084,3745000,3739958,3773708,3737583,3741542,3745042,3774625,3744083,3754125,3752083,3740542,3744250,3756625,3754208,3754959,3749458,3750875
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,DESC,1000,4507.082701334276,822.8769546873674,3483615.3,3426333,3646625,3483791.0,30,3479292.0,3486250.0,6958.0,3426333.0,3486250.0,3480917,3479250,3485750,3483584,3486333,3484167,3478708,3481125,3488917,3479292,3479292,3498041,3479042,3486042,3483833,3486167,3479291,3480459,3486333,3478708,3490792,3479542,3489250,3483791,3480000,3487750,3479167,3486208,3480458,3486250
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,ASC,10000,882.7877944330676,161.17426283374155,30206.9,27041,216834,30208.0,30,29583.0,30542.0,959.0,31041.0,29917.0,30250,29083,30458,29333,30292,28958,29417,31000,29417,30500,29917,30542,29750,30375,29500,31334,30208,30708,29541,31834,29666,30792,29583,29708,30625,29791,33417,29833,30458,29917
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,RANDOM,10000,1816784.4257808004,331697.9373747382,4.192883361666667E8,414477625,428032458,4.19128708E8,30,4.17734542E8,4.20285375E8,2550833.0,4.19954667E8,4.22150125E8,418102167,419514542,417242958,419049583,419943917,422907583,419151625,418085875,418400042,416983708,419338833,419128708,417760375,417659833,421200542,418971375,422503959,421921084,420285375,417458334,417076500,418052250,420987250,417491083,417313917,417734542,419784500,419346208,423103292,422150125
BUBBLE_SORT_UNTIL_NO_CHANGE,SHORT,DESC,10000,334449.5219997315,61061.849182024416,3.501679638666667E8,349862458,363880500,3.50090959E8,30,3.50014E8,3.50146291E8,132291.0,3.50607334E8,3.50121875E8,351415833,350174000,349991291,349982417,350272083,349993708,350089583,350107125,349928500,350194333,350033083,350014000,350090959,350146291,350069834,350366459,351319334,349986792,350095958,350039792,350040292,350116750,350038541,350127500,350107208,350003459,350064708,350193833,349913375,350121875
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,ASC,100,20.69836279086398,3.778986734660595,601.3333333333334,542,16042,584.0,30,583.0,625.0,42.0,16042.0,584.0,625,625,584,584,584,625,625,583,583,583,583,583,583,583,625,625,625,583,583,583,583,625,625,583,625,583,625,625,625,584
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,RANDOM,100,52.15392815716016,9.521960971393487,62501.36666666667,62291,83792,62500.0,30,62458.0,62542.0,84.0,78917.0,62500.0,62458,62416,62542,62541,62458,62417,62459,62500,62541,62584,62500,62541,62458,62417,62500,62542,62500,62458,62542,62500,62500,62542,62583,62417,62500,62625,62500,62542,62458,62500
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,DESC,100,796.7245927336916,145.4613438531198,60008.3,59666,70125,59875.0,30,59833.0,59875.0,42.0,67833.0,59875.0,59833,59875,59875,59875,59833,59833,59875,59750,59875,59875,59875,59833,59917,59833,59917,59875,59875,59834,59791,59875,59750,59833,59958,59875,59917,59917,59833,59875,64292,59875
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,ASC,1000,51.21636023338201,9.350785271044627,7980.533333333334,7833,16792,7959.0,30,7958.0,8000.0,42.0,16792.0,8041.0,7917,8000,8000,7959,8041,7959,7875,8042,7916,7958,8000,8084,7958,7958,7959,7916,8000,8000,7917,8041,8083,7917,7959,8041,8000,7958,7958,8000,7959,8041
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,RANDOM,1000,46710.357509467016,8528.105492355306,8886290.266666668,8810500,9415459,8879458.0,30,8855042.0,8904459.0,49417.0,9077458.0,8995000.0,8882875,8879458,8840292,8864958,8832916,8904459,8848000,8919791,8866417,8881625,8814667,8837416,8863875,8901917,8825375,8855042,8876875,8897458,8868792,8868500,8900166,8905292,8849041,8975125,8921958,8865084,9008625,8953459,8884250,8995000
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,DESC,1000,24126.306385262447,4404.840745496389,6515695.933333334,6469792,7101584,6516584.0,30,6498750.0,6529667.0,30917.0,6721583.0,6592375.0,6529666,6521625,6479083,6516584,6501334,6523250,6496250,6540291,6509334,6535375,6483000,6496000,6507250,6515167,6469792,6522875,6495250,6519417,6498750,6527500,6510834,6529667,6479875,6506375,6510125,6537458,6532709,6537250,6546417,6592375
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,ASC,10000,781.7761607746527,142.73214605868756,111306.96666666666,110875,362125,111083.0,30,111000.0,111167.0,167.0,132917.0,111000.0,111084,111000,110959,111291,111084,111166,111000,111167,111083,111041,110959,111000,111125,110916,110917,111583,111042,111042,111000,111125,111042,111917,114541,111250,110916,111167,113667,111125,111000,111000
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,RANDOM,10000,1.1534100403662708E7,2105828.990538502,1.1655169014333334E9,1143492000,1242305167,1.16447525E9,30,1.154396792E9,1.175263625E9,2.0866833E7,1.163454709E9,1.150147083E9,1158408334,1164475250,1150450375,1156897500,1153339083,1158793375,1173647583,1175263625,1176755292,1185779250,1186665042,1177910041,1186263792,1182828500,1168690625,1177966500,1170044833,1171900417,1162981292,1162674125,1161128958,1165117084,1151577166,1153087084,1150634375,1153989334,1167568375,1154396792,1156125958,1150147083
BUBBLE_SORT_UNTIL_NO_CHANGE,STRING,DESC,10000,8757210.2310639,1598840.5281229087,8.149778819666667E8,799788250,1010318625,8.11089792E8,30,8.07518375E8,8.21685375E8,1.4167E7,8.29415417E8,8.31904084E8,819919167,833343583,823664667,825680208,819680542,821685375,817470583,824511792,806564750,810044375,806570375,807897959,807518375,808973000,820109041,810691792,806522167,806601041,805578625,802677250,815621542,806882667,812073666,811089792,810423500,808443583,809670584,830086958,827435416,831904084
BUBBLE_SORT_WHILE_NEEDED,INTEGER,ASC,100,20.090793911640226,3.668060341197602,651.4,583,10042,666.0,30,625.0,667.0,42.0,8459.0,625.0,666,625,667,667,667,667,667,625,667,667,625,666,666,625,667,667,625,667,625,666,666,625,667,625,667,667,625,666,625,625
BUBBLE_SORT_WHILE_NEEDED,INTEGER,RANDOM,100,32.87053729743739,6.001311585040452,9995.833333333334,9916,149459,10000.0,30,9959.0,10041.0,82.0,60000.0,10000.0,10000,9958,9958,10041,10000,9958,10041,9958,10000,10041,9958,10042,9959,9958,10042,9959,10000,9959,10042,10000,10000,9958,10000,9959,10042,10042,10000,10000,10000,10000
BUBBLE_SORT_WHILE_NEEDED,INTEGER,DESC,100,27.26864296016377,4.978550287278715,14223.566666666668,14125,21584,14209.0,30,14208.0,14250.0,42.0,17083.0,14250.0,14208,14250,14250,14167,14250,14291,14208,14209,14208,14208,14250,14208,14209,14208,14250,14208,14209,14208,14250,14208,14291,14208,14209,14208,14208,14209,14250,14209,14208,14250
BUBBLE_SORT_WHILE_NEEDED,INTEGER,ASC,1000,26.198897347449986,4.783242352986873,1530.5333333333333,1458,3875,1541.0,30,1500.0,1542.0,42.0,3875.0,1583.0,1500,1542,1542,1500,1584,1500,1542,1500,1583,1542,1500,1541,1541,1500,1542,1500,1542,1500,1541,1541,1500,1542,1500,1542,1542,1542,1500,1541,1541,1583
BUBBLE_SORT_WHILE_NEEDED,INTEGER,RANDOM,1000,3362.6643959812586,613.9357143328066,1040548.4,1034750,1137000,1040209.0,30,1038166.0,1042250.0,4084.0,1063125.0,1042667.0,1043916,1040541,1039666,1049375,1038917,1040208,1037916,1039208,1037167,1043375,1041083,1045625,1038958,1040458,1040209,1037208,1040541,1038166,1038666,1047625,1040792,1036250,1040209,1036917,1039541,1035666,1046791,1036541,1042250,1042667
BUBBLE_SORT_WHILE_NEEDED,INTEGER,DESC,1000,4144.2659965306275,756.6359902004837,1393137.5,1388666,1510625,1391542.0,30,1391417.0,1396000.0,4583.0,1484125.0,1398375.0,1396000,1391417,1388750,1391584,1391458,1398708,1403000,1391541,1391458,1388709,1391542,1391542,1398708,1393000,1392041,1391541,1388750,1391458,1398959,1388792,1393167,1388875,1388667,1398500,1391500,1391542,1388708,1393083,1402750,1398375
BUBBLE_SORT_WHILE_NEEDED,INTEGER,ASC,10000,102.57807866314431,18.728109196447836,13913.933333333332,13667,162667,13875.0,30,13833.0,13958.0,125.0,20042.0,13958.0,14125,13958,13959,13958,13875,13917,13875,13875,13792,13792,13833,13875,13959,13792,13875,13917,13833,13833,14250,13833,14042,13875,13792,13959,14083,13875,13958,13875,13875,13958
BUBBLE_SORT_WHILE_NEEDED,INTEGER,RANDOM,10000,190946.22305081956,34861.85121178226,1.030349166E8,100876250,104393750,1.03010417E8,30,1.02914459E8,1.03068833E8,154374.0,1.0316875E8,1.03010417E8,103015958,103013250,103052042,102917167,103055291,102914459,103114375,102961500,102840000,102967250,102834833,103200958,102893416,103111375,102953375,103068833,102936375,102887333,102939500,102886958,103107166,103034750,103202500,103048292,103550916,103745584,102911250,102989541,102882834,103010417
BUBBLE_SORT_WHILE_NEEDED,INTEGER,DESC,10000,72674.58632318147,13268.503428854308,1.3860051523333332E8,138558042,143366583,1.38572208E8,30,1.38566417E8,1.38574916E8,8499.0,1.41321E8,1.38874291E8,138566791,138572000,138571125,138567000,138566292,138572208,138566125,138573541,138571666,138566750,138565542,138572917,138572292,138565334,138574916,138577500,138566417,138572333,138578000,138570875,138566375,138573875,138564917,138566375,138572958,138741625,138720292,138731542,138693583,138874291
BUBBLE_SORT_WHILE_NEEDED,FLOAT,ASC,100,100.55280536447836,18.358346572850426,2568.0,2458,29875,2542.0,30,2500.0,2542.0,42.0,29084.0,2500.0,2541,2541,2833,2500,2500,2542,2542,2542,2458,2542,2542,2500,2792,2542,2542,2542,2542,2500,2542,2625,2583,2625,2916,2541,2541,2541,2583,2500,2500,2500
BUBBLE_SORT_WHILE_NEEDED,FLOAT,RANDOM,100,215.62318211794081,39.367226922346916,14711.1,14333,210417,14666.0,30,14625.0,14708.0,83.0,210417.0,14667.0,14667,14708,14708,14667,14667,14667,14708,14708,15250,14625,14542,15125,14625,14625,14667,14625,14625,14625,14625,14708,14666,15583,14625,14583,14625,14584,14625,14625,14583,14667
BUBBLE_SORT_WHILE_NEEDED,FLOAT,DESC,100,34.72072707892058,6.339108478035086,17754.266666666666,17666,22959,17750.0,30,17750.0,17750.0,0.0,22959.0,17750.0,17750,17709,17750,17792,17708,17791,17750,17750,17750,17666,17750,17792,17750,17709,17750,17834,17750,17750,17750,17750,17834,17792,17750,17792,17709,17750,17750,17750,17750,17750
BUBBLE_SORT_WHILE_NEEDED,FLOAT,ASC,1000,24.3804338672542,4.451237863619346,1845.8333333333333,1708,4708,1834.0,30,1833.0,1834.0,1.0,4708.0,1833.0,1833,1834,1833,1833,1834,1833,1833,1834,1917,1875,1875,1916,1833,1834,1875,1834,1833,1833,1834,1833,1875,1833,1875,1833,1833,1834,1833,1833,1834,1833
BUBBLE_SORT_WHILE_NEEDED,FLOAT,RANDOM,1000,5266.33502162557,961.4968289079272,1476834.8,1462417,1751417,1476750.0,30,1472375.0,1480791.0,8416.0,1482166.0,1474375.0,1472375,1475209,1469292,1469375,1480417,1485750,1480791,1485125,1485833,1480542,1467292,1471417,1474959,1475750,1483000,1472083,1476750,1476583,1475250,1482333,1473375,1478041,1476875,1469875,1481209,1477125,1470084,1485250,1478709,1474375
BUBBLE_SORT_WHILE_NEEDED,FLOAT,DESC,1000,730.9417547854883,133.4510957728072,1721938.8666666667,1721458,1776500,1721625.0,30,1721583.0,1721709.0,126.0,1727375.0,1721709.0,1721542,1721667,1721625,1721625,1721542,1723125,1721584,1721583,1721625,1721625,1721625,1723041,1721583,1721709,1721583,1721541,1721625,1723042,1721542,1721583,1721583,1721584,1722917,1724708,1721541,1721750,1721583,1721541,1722833,1721709
BUBBLE_SORT_WHILE_NEEDED,FLOAT,ASC,10000,99.73253676152476,18.208586700500113,16355.566666666668,15875,170583,16333.0,30,16292.0,16375.0,83.0,30500.0,16375.0,16333,16333,16292,16334,16333,16417,16375,16375,16417,16375,16209,16291,16333,16459,16625,16709,16333,16250,16333,16250,16333,16333,16334,16291,16250,16292,16333,16417,16333,16375
BUBBLE_SORT_WHILE_NEEDED,FLOAT,RANDOM,10000,819010.9072666732,149530.24958424288,2.1596080843333334E8,212605458,224306167,2.15872E8,30,2.15580792E8,2.16332292E8,751500.0,2.18166459E8,2.15699875E8,217294667,216317666,215760500,215613834,217186250,217062625,216562833,215694458,215716584,217643500,216821917,216290750,214669834,216332292,215782750,216322625,215502542,215580792,215670958,214612667,217084000,215974041,215394417,214612750,216074917,216271792,214999292,215872000,214401125,215699875
BUBBLE_SORT_WHILE_NEEDED,FLOAT,DESC,10000,55178.6266709614,10074.192839947249,1.752410042E8,174764833,175540666,1.75222041E8,30,1.75210083E8,1.75236833E8,26750.0,1.74913958E8,1.75222041E8,175214583,175354000,175223167,175206167,175221209,175223333,175220166,175349709,175210083,175204292,175249917,175216959,175402625,175212125,175234542,175209750,175212083,175228000,175333542,175162542,175204125,175218792,175236833,175259833,175343833,175225625,175199333,175203417,175227500,175222041
BUBBLE_SORT_WHILE_NEEDED,SHORT,ASC,100,52.36900058452731,9.561227644715613,690.2333333333333,625,11958,667.0,30,666.0,708.0,42.0,11958.0,708.0,667,708,666,666,875,708,666,666,708,709,667,667,875,709,667,667,667,708,666,666,667,667,667,667,667,667,667,666,666,708
BUBBLE_SORT_WHILE_NEEDED,SHORT,RANDOM,100,31.128925455273915,5.683338220916766,19194.3,18791,84792,19208.0,30,19166.0,19208.0,42.0,52833.0,19208.0,19208,19167,19250,19166,19166,19208,19209,19167,19208,19208,19167,19209,19208,19250,19166,19166,19208,19209,19167,19166,19166,19250,19167,19208,19208,19250,19125,19208,19166,19208
BUBBLE_SORT_WHILE_NEEDED,SHORT,DESC,100,29.937360530874383,5.465789224974912,22562.433333333334,22458,37041,22583.0,30,22542.0,22583.0,41.0,37041.0,22584.0,22583,22583,22500,22625,22541,22542,22583,22583,22542,22583,22583,22542,22625,22541,22542,22583,22542,22584,22583,22583,22584,22541,22500,22583,22541,22542,22542,22541,22542,22584
BUBBLE_SORT_WHILE_NEEDED,SHORT,ASC,1000,28.440288324839464,5.192462485821796,2719.5,2625,4708,2708.0,30,2708.0,2709.0,1.0,4708.0,2750.0,2709,2709,2708,2708,2750,2708,2834,2709,2708,2708,2750,2708,2708,2709,2709,2709,2708,2708,2708,2708,2709,2709,2708,2708,2708,2792,2709,2708,2708,2750
BUBBLE_SORT_WHILE_NEEDED,SHORT,RANDOM,1000,4417.574504056371,806.5350684437904,1834300.0333333334,1824375,1915791,1834042.0,30,1831125.0,1836291.0,5166.0,1836541.0,1826291.0,1840542,1831125,1833000,1834125,1836291,1832834,1837417,1828417,1835541,1845084,1833375,1834416,1827834,1841250,1835583,1830333,1834042,1839167,1828791,1830709,1832625,1829416,1841334,1832916,1832834,1833542,1841083,1834500,1834584,1826291
BUBBLE_SORT_WHILE_NEEDED,SHORT,DESC,1000,3409.437897790322,622.4753483442507,2257697.2333333334,2252333,2412709,2256334.0,30,2255084.0,2262000.0,6916.0,2264000.0,2262125.0,2262083,2255125,2255084,2255166,2259542,2255167,2255875,2262375,2258000,2262541,2256334,2262000,2255125,2259709,2253125,2255083,2252333,2257042,2262292,2255083,2255167,2256875,2265583,2255083,2255084,2262166,2259000,2255084,2255666,2262125
BUBBLE_SORT_WHILE_NEEDED,SHORT,ASC,10000,99.29247481836457,18.128242749510648,26131.933333333334,25916,192542,26125.0,30,26083.0,26167.0,84.0,34375.0,26459.0,26041,26125,26167,26125,26083,26125,26167,26125,26042,26166,26042,26167,26000,26042,26000,26250,26416,26167,26083,26125,26083,26125,26167,26083,26041,26125,26167,26125,26125,26459
BUBBLE_SORT_WHILE_NEEDED,SHORT,RANDOM,10000,2024155.0321297513,369558.4569950197,2.4540058626666668E8,239462584,255398000,2.45950084E8,30,2.44155084E8,2.46936375E8,2781291.0,2.41166042E8,2.44596583E8,243426084,249442500,247207417,245710584,246936375,245950084,247048416,244155084,244236000,246483708,247781417,245343292,243984750,246943250,245951334,248056375,247522500,245952000,245451709,244983083,246490542,246441959,246780917,245116500,241730625,243252416,242999042,241445167,240597875,244596583
BUBBLE_SORT_WHILE_NEEDED,SHORT,DESC,10000,146191.158969648,26690.731825166637,2.2530229866666666E8,224455125,233275292,2.252505E8,30,2.25208959E8,2.25361083E8,152124.0,2.25429541E8,2.25182625E8,225165916,225208959,225351042,225226250,225386625,225298584,225191959,225209375,225375709,225196292,225202750,225215083,225408708,225370833,225228791,225322209,225225750,225361083,225309458,225214042,225930917,225476166,225250500,225195000,225212459,225465625,225350125,225192750,225343375,225182625
BUBBLE_SORT_WHILE_NEEDED,STRING,ASC,100,22.797270791819695,4.162193154077769,598.4666666666667,541,7208,583.0,30,583.0,625.0,42.0,7208.0,583.0,583,583,583,625,583,583,625,625,584,584,625,583,625,583,583,583,625,583,583,583,625,584,625,583,583,666,625,583,583,583
BUBBLE_SORT_WHILE_NEEDED,STRING,RANDOM,100,1312.2125204740614,239.57613256811769,38151.36666666667,37708,51625,37834.0,30,37792.0,37875.0,83.0,51625.0,37792.0,37875,37750,37917,37750,37875,37750,37834,37750,37916,37792,37791,37834,37875,37833,44708,37917,37958,37792,37792,37875,37875,40541,37833,37834,37833,37708,37833,37833,37875,37792
BUBBLE_SORT_WHILE_NEEDED,STRING,DESC,100,66.92799613515011,12.219324403946764,33968.1,33166,44875,33959.0,30,33958.0,34000.0,42.0,38583.0,34000.0,33958,33875,33959,33916,33959,33916,33959,33959,34000,33916,34000,33959,33958,33958,34042,34000,34000,34000,33958,33917,33959,33916,34250,34000,33958,33959,33834,33958,34000,34000
BUBBLE_SORT_WHILE_NEEDED,STRING,ASC,1000,147.2437170891248,26.882901766874188,7862.433333333333,7625,17875,7875.0,30,7709.0,7958.0,249.0,17875.0,7708.0,7791,7917,8041,8042,7750,7917,7708,7917,7958,7791,7792,8167,7791,7667,7875,7791,8084,7750,7875,8166,7709,8084,7667,7916,7708,7917,7958,7708,7708,7708
BUBBLE_SORT_WHILE_NEEDED,STRING,RANDOM,1000,14121.93913360815,2578.3015397307154,5133422.2,5107916,5494750,5131375.0,30,5122375.0,5141250.0,18875.0,5144166.0,5125375.0,5130291,5134542,5115833,5151959,5116708,5141250,5127916,5145625,5121417,5141875,5129958,5151042,5118750,5143041,5122334,5138083,5122375,5138833,5112000,5184042,5134042,5132416,5127417,5150250,5121500,5131375,5124167,5137083,5131167,5125375
BUBBLE_SORT_WHILE_NEEDED,STRING,DESC,1000,6545.725093185289,1195.080429588396,3305490.2666666666,3246750,3887792,3305542.0,30,3300791.0,3309916.0,9125.0,3246750.0,3307000.0,3310458,3305542,3296875,3310458,3304750,3309375,3296708,3314333,3299917,3301292,3304959,3305666,3307167,3306625,3298167,3309916,3303500,3311334,3301500,3327625,3313250,3300791,3296250,3303250,3308084,3303666,3296417,3310042,3299791,3307000
BUBBLE_SORT_WHILE_NEEDED,STRING,ASC,10000,25334.49652086174,4625.425075837375,120968.03333333334,111250,362875,115875.0,30,115458.0,116333.0,875.0,134666.0,117208.0,115334,115459,115416,115583,115625,115375,115333,115458,115500,118125,115458,115291,115500,115500,115292,257209,117000,119334,116041,116042,115833,116084,116333,116000,116084,118541,115875,116083,121125,117208
BUBBLE_SORT_WHILE_NEEDED,STRING,RANDOM,10000,1528227.6506405207,279014.9190863125,6.162957735666667E8,612332708,633548125,6.163005E8,30,6.14820333E8,6.17332292E8,2511959.0,6.31998084E8,6.16927209E8,614667541,613983583,614464084,614782000,614414875,614323166,615809542,614820333,614465250,615946625,617332292,616799167,616343375,616300500,615612125,617021416,615473167,614980917,615350708,615487875,617632875,617981792,618787000,619290041,618799500,618252833,618545625,617291708,616986083,616927209
BUBBLE_SORT_WHILE_NEEDED,STRING,DESC,10000,3177005.307756925,580039.1574573701,3.322194541666667E8,327676042,337849125,3.3429425E8,30,3.28619875E8,3.35237708E8,6617833.0,3.32443375E8,3.36352209E8,329368209,328559208,328388958,328078584,329169583,328597000,328603500,329066208,327676042,328748792,329314916,328619875,328300042,333149208,334848583,335061709,335237708,334373958,334300417,334294250,335409833,335256542,335201792,335439666,335354583,335374542,335358667,334837208,334241833,336352209
